,SnO2/Pt sensor,,,,SnO2/Ag sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,G1-1,G1-2,G1-3,G1-4,G2-1,G2-2,G2-3,G2-4,Conc,Gas,Split,Split0,Split1,Split10,Split11,Split12,Split13,Split20,Split21,Split22,Split23,Split30,Split31,Split32,Split33,Split34,Split35,Split36,Split40,Split41,Split42,Split43
1,1.18,1.88,1.85,1.63,4.33,6.21,9.37,96.21,0.02,H2S,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
2,1.17,1.87,1.85,1.63,4.33,6.14,9.44,97.14,0.02,H2S,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
3,1.18,1.89,1.86,1.66,4.29,6.14,9.44,97.86,0.02,H2S,V,In,V,V,V,V,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
4,1.24,2.13,2,1.79,5.05,6.43,11.12,187.14,0.04,H2S,In,Tr,In,In,In,In,In,V,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
5,1.23,2.13,2,1.79,5.05,6.43,11.06,189,0.04,H2S,In,Tr,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
6,1.23,2.13,2,1.78,5,6.43,11.12,189,0.04,H2S,In,In,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
7,1.24,2.53,2.07,1.85,6.19,7.86,13.87,251.04,0.1,H2S,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
8,1.24,2.53,2.07,1.84,6.19,7.82,13.62,250.21,0.1,H2S,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
9,1.24,2.56,2.08,1.84,6.14,7.79,13.81,250.07,0.1,H2S,V,In,V,V,V,V,V,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Ex,Ex
10,1.26,3,2.1,1.84,7.14,8.02,15.06,300.57,0.2,H2S,In,Tr,In,In,In,Tr,In,V,In,V,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
11,1.26,3.07,2.12,1.84,7.14,7.99,15.12,301.86,0.2,H2S,In,Tr,In,In,In,Tr,In,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
12,1.26,3.07,2.1,1.88,7.1,7.93,14.94,301.86,0.2,H2S,In,In,In,In,In,V,In,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Ex
13,1.35,4.57,2.45,1.88,9.05,8.93,18.31,369.86,0.4,H2S,Tr,Tr,Tr,In,Tr,In,Tr,In,V,In,V,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,V
14,1.35,4.53,2.45,1.89,9.05,9.14,17.97,369.57,0.4,H2S,Tr,Tr,Tr,In,Tr,In,Tr,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
15,1.39,4.53,2.45,1.89,9.05,9.21,18.37,369.57,0.4,H2S,V,In,V,In,V,In,V,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
